Date,Open,High,Low,Close,Volume
10/23/2025,"106.90","106.90","105.00","105.00","2,395,650"
10/22/2025,"109.70","109.70","106.10","106.90","829,010"
10/21/2025,"109.50","110.50","107.30","109.70","850,830"
10/20/2025,"109.40","111.20","108.50","108.60","883,090"
10/17/2025,"109.00","109.40","108.20","109.20","1,468,020"
10/16/2025,"107.00","109.00","107.00","108.00","2,432,230"
10/15/2025,"106.80","107.70","106.00","106.90","1,224,340"
10/14/2025,"105.70","107.30","105.20","106.80","1,696,210"
10/13/2025,"106.50","107.60","105.00","107.00","1,148,240"
10/10/2025,"107.60","108.50","106.00","106.40","997,370"
10/09/2025,"108.80","109.60","107.40","107.50","2,284,130"
10/08/2025,"111.30","112.20","108.10","108.70","3,628,780"
10/07/2025,"109.00","113.40","108.30","112.80","1,162,030"
10/06/2025,"113.00","114.40","108.60","108.60","1,877,980"
10/03/2025,"112.30","113.20","112.00","113.00","1,185,610"
10/02/2025,"112.00","113.30","112.00","112.30","1,999,630"
10/01/2025,"112.00","113.00","111.00","112.00","2,716,990"
09/30/2025,"111.20","115.00","108.50","115.00","3,014,470"
09/29/2025,"112.00","112.80","108.80","111.00","785,800"
09/26/2025,"110.70","112.50","109.80","112.00","1,034,370"
09/25/2025,"111.00","112.30","110.50","111.00","2,223,620"
09/24/2025,"111.30","112.90","109.50","110.50","1,291,320"
09/23/2025,"113.00","113.00","110.20","111.00","1,680,390"
09/22/2025,"114.50","114.60","112.10","113.00","1,093,850"
09/19/2025,"114.00","115.40","113.20","114.50","7,140,530"
09/18/2025,"111.50","114.50","109.10","114.00","2,850,700"
09/17/2025,"109.00","112.40","107.60","112.00","2,660,780"
09/16/2025,"103.10","109.90","103.10","109.70","5,390,940"
09/15/2025,"107.80","107.90","102.30","102.30","6,785,360"
09/12/2025,"107.90","108.70","107.30","108.00","2,466,050"
09/11/2025,"107.80","108.40","107.30","107.90","1,039,980"
09/10/2025,"107.30","108.70","107.20","107.80","3,340,660"
09/09/2025,"107.80","108.80","106.90","107.30","3,372,270"
09/08/2025,"111.80","112.70","106.90","107.00","3,897,650"
09/05/2025,"110.30","112.90","110.20","111.60","1,882,690"
09/04/2025,"110.30","111.00","110.00","110.20","5,291,590"
09/03/2025,"110.00","110.30","108.00","110.30","3,334,060"
09/02/2025,"113.00","114.00","108.40","110.80","2,695,700"
09/01/2025,"113.90","114.00","111.30","113.00","821,010"
08/29/2025,"112.50","113.30","111.50","113.00","2,446,420"
08/28/2025,"115.00","116.20","111.40","112.50","2,844,390"
08/27/2025,"112.50","116.30","111.50","115.60","2,469,370"
08/26/2025,"114.00","114.00","108.30","112.10","7,904,140"
08/22/2025,"113.40","114.80","112.40","114.30","2,919,770"
08/20/2025,"114.60","115.80","113.50","114.00","2,006,340"
08/19/2025,"116.20","116.40","113.30","114.50","2,784,410"
08/18/2025,"119.50","120.00","116.20","116.20","1,923,830"
08/15/2025,"118.00","119.00","116.00","118.50","3,171,210"
08/14/2025,"118.20","120.80","117.70","118.00","2,604,720"
08/13/2025,"117.50","118.50","117.20","118.00","13,038,080"
08/12/2025,"118.20","118.40","117.00","117.50","1,809,830"
08/11/2025,"121.00","121.70","117.50","117.50","1,897,390"
08/08/2025,"121.50","121.90","120.10","120.90","1,107,190"
08/07/2025,"121.50","122.70","119.10","122.70","1,593,450"
08/06/2025,"121.60","122.30","119.40","121.50","1,733,860"
08/05/2025,"124.70","124.70","121.20","121.50","869,400"
08/04/2025,"120.90","124.80","118.70","124.80","1,583,980"
08/01/2025,"118.70","120.60","118.70","120.50","1,828,360"
07/31/2025,"120.70","120.70","118.00","118.20","3,194,970"
07/30/2025,"121.50","122.00","120.20","120.70","1,593,100"
07/29/2025,"122.20","122.60","120.90","121.00","2,706,220"
07/28/2025,"122.80","123.70","120.20","122.00","2,169,470"
07/25/2025,"125.10","125.10","122.10","122.80","2,449,360"
07/24/2025,"125.50","126.80","124.60","125.00","1,791,070"
07/23/2025,"128.10","128.60","124.50","125.80","3,074,820"
07/22/2025,"126.00","128.10","125.60","127.80","3,038,940"
07/21/2025,"122.50","125.90","122.00","125.90","2,904,520"
07/18/2025,"119.80","122.80","119.40","122.00","1,995,090"
07/17/2025,"119.70","121.80","118.50","119.00","2,012,740"
07/16/2025,"122.20","123.00","118.50","119.70","4,076,030"
07/15/2025,"123.40","124.00","122.50","123.10","1,318,920"
07/14/2025,"123.00","124.20","121.90","123.40","2,185,810"
07/11/2025,"121.80","124.40","121.00","123.00","3,482,090"
07/10/2025,"123.00","124.00","120.00","120.00","7,432,670"
07/09/2025,"124.50","125.50","122.40","123.00","4,026,360"
07/08/2025,"127.00","127.50","124.20","124.50","4,422,540"
07/07/2025,"124.70","128.30","123.40","127.00","2,877,520"
07/04/2025,"127.30","127.50","124.00","124.70","3,453,590"
07/03/2025,"127.00","128.40","125.10","127.00","4,770,390"
07/02/2025,"130.40","130.40","126.80","127.70","4,334,470"
07/01/2025,"131.90","132.30","130.10","130.40","4,846,120"
06/30/2025,"133.40","134.00","130.00","130.00","3,594,320"
06/27/2025,"134.00","134.30","133.20","133.20","2,720,520"
06/26/2025,"134.60","134.90","132.80","134.20","2,206,450"
06/25/2025,"135.40","137.20","133.40","134.00","1,398,940"
06/24/2025,"133.20","136.70","133.20","136.30","2,103,490"
06/23/2025,"136.50","136.50","131.30","132.00","1,354,610"
06/20/2025,"137.90","138.50","136.00","136.90","6,730,970"
06/19/2025,"135.00","138.90","134.00","137.60","2,166,920"
06/18/2025,"137.70","138.80","134.30","135.50","1,780,920"
06/17/2025,"138.00","139.00","136.50","137.70","1,652,310"
06/16/2025,"138.70","140.00","137.80","137.80","1,771,130"
06/13/2025,"138.50","139.00","138.10","138.70","6,627,790"
06/11/2025,"138.00","139.20","138.00","138.50","3,808,980"
06/10/2025,"138.80","138.80","137.20","137.90","3,043,570"
06/09/2025,"139.20","139.60","136.30","139.60","1,646,930"
06/05/2025,"139.10","141.60","138.70","140.00","1,712,530"
06/04/2025,"139.60","142.00","138.30","140.00","2,188,930"
06/03/2025,"139.20","141.00","137.40","141.00","1,845,810"
06/02/2025,"138.40","141.00","138.40","139.80","2,525,390"
05/30/2025,"140.00","140.00","137.90","139.10","4,883,560"
05/29/2025,"139.90","139.90","137.90","138.00","1,323,020"
05/28/2025,"138.50","140.80","138.50","139.00","2,175,580"
05/27/2025,"137.70","139.40","137.70","138.10","1,397,530"
05/26/2025,"139.80","141.00","139.20","139.20","2,349,690"
05/23/2025,"136.70","139.80","136.30","139.80","1,342,970"
05/22/2025,"137.00","137.00","133.80","136.00","4,520,220"
05/21/2025,"131.60","136.70","131.40","136.70","5,597,980"
05/20/2025,"136.50","137.00","131.10","131.10","2,907,280"
05/19/2025,"135.50","138.00","134.50","135.90","1,639,090"
05/16/2025,"135.80","138.00","133.10","135.90","1,871,030"
05/15/2025,"139.50","140.50","135.00","135.00","1,994,200"
05/14/2025,"140.00","141.30","139.50","139.80","2,170,010"
05/13/2025,"137.90","143.30","137.60","141.00","3,453,760"
05/09/2025,"135.80","141.30","135.50","136.80","2,557,330"
05/08/2025,"138.20","140.30","134.50","134.50","2,235,370"
05/07/2025,"140.30","141.70","138.00","138.00","2,824,030"
05/06/2025,"141.00","141.10","138.40","140.00","1,388,990"
05/05/2025,"142.50","143.90","140.00","141.00","898,840"
05/02/2025,"139.50","144.90","136.80","142.50","2,837,110"
04/30/2025,"134.00","140.00","133.60","140.00","5,493,230"
04/29/2025,"133.40","134.00","132.50","133.00","1,384,490"
04/28/2025,"134.30","135.70","133.00","133.30","1,167,130"
04/25/2025,"133.30","135.50","133.30","134.30","1,586,290"
04/24/2025,"133.50","133.90","132.50","133.20","785,950"
04/23/2025,"135.10","135.10","131.70","134.00","2,686,690"
04/22/2025,"135.00","135.00","133.00","135.00","942,280"
04/21/2025,"132.50","135.40","131.50","135.10","1,177,120"
04/16/2025,"132.00","132.00","130.30","132.00","1,138,250"
04/15/2025,"131.10","132.00","131.10","132.00","908,000"
04/14/2025,"130.20","133.00","129.20","131.10","990,690"
04/11/2025,"132.20","132.20","129.30","130.00","2,499,210"
04/10/2025,"135.00","135.50","132.70","133.00","6,136,610"
04/08/2025,"127.70","132.00","127.70","131.50","2,091,150"
04/07/2025,"128.00","129.00","127.30","127.50","4,512,360"
04/04/2025,"133.90","134.90","132.80","133.00","1,603,250"
04/03/2025,"137.00","137.00","133.70","133.90","1,989,920"
04/02/2025,"133.00","138.10","132.00","138.10","2,190,790"
03/31/2025,"134.50","134.50","130.50","132.00","2,736,760"
03/28/2025,"134.60","135.90","134.60","134.60","2,288,930"
03/27/2025,"134.40","134.70","133.20","134.50","2,068,800"
03/26/2025,"132.20","134.80","131.10","134.80","1,052,530"
03/25/2025,"133.10","134.00","131.10","132.20","527,270"
03/24/2025,"134.50","134.50","131.10","132.00","1,992,210"
03/21/2025,"135.20","135.50","134.10","134.50","3,347,180"
03/20/2025,"137.60","137.60","135.20","135.20","1,434,130"
03/19/2025,"134.30","138.00","133.00","138.00","4,148,880"
